,0,1,2
C0001,"('C0137', 0.0221)","('C0152', 0.0315)","('C0056', 0.1724)"
C0002,"('C0029', 0.0912)","('C0199', 0.1383)","('C0031', 0.1693)"
C0003,"('C0178', 0.0196)","('C0035', 0.1635)","('C0146', 0.1835)"
C0004,"('C0021', 0.0494)","('C0101', 0.1489)","('C0145', 0.3162)"
C0005,"('C0073', 0.0396)","('C0159', 0.0575)","('C0112', 0.1126)"
C0006,"('C0079', 0.0285)","('C0117', 0.2366)","('C0158', 0.6066)"
C0007,"('C0085', 0.0279)","('C0120', 0.1655)","('C0042', 0.2673)"
C0008,"('C0084', 0.5428)","('C0109', 0.861)","('C0147', 0.9528)"
C0009,"('C0077', 0.0892)","('C0032', 0.3369)","('C0043', 0.3539)"
C0010,"('C0029', 0.0811)","('C0025', 0.1516)","('C0002', 0.1723)"
C0011,"('C0107', 0.1066)","('C0183', 0.1208)","('C0048', 0.1215)"
C0012,"('C0155', 0.1192)","('C0122', 0.1291)","('C0108', 0.3113)"
C0013,"('C0045', 0.0173)","('C0143', 0.0358)","('C0041', 0.1214)"
C0014,"('C0058', 0.33)","('C0151', 0.4024)","('C0128', 0.5931)"
C0015,"('C0095', 0.276)","('C0144', 0.3204)","('C0063', 0.4803)"
C0016,"('C0048', 0.0236)","('C0183', 0.0243)","('C0011', 0.1451)"
C0017,"('C0162', 0.0368)","('C0113', 0.0443)","('C0004', 0.4564)"
C0018,"('C0200', 0.0234)","('C0170', 0.1506)","('C0187', 0.1702)"
C0019,"('C0172', 0.0141)","('C0111', 0.4877)","('C0157', 0.4887)"
C0020,"('C0110', 0.0846)","('C0078', 0.3106)","('C0080', 0.3616)"
